old_name,new_name,status
"ChatGPT Image 2026年5月30日 21_40_07.png","001_小可_画室前置自拍看镜头.png",renamed
"ChatGPT Image 2026年5月30日 21_41_53.png","002_小可_画室前置自拍微侧脸.png",renamed
"ChatGPT Image 2026年5月30日 21_51_00.png","003_小可_画室全身站立照.png",renamed
"ChatGPT Image 2026年5月30日 21_52_38.png","004_小可_画室椅子上坐姿照.png",renamed
"ChatGPT Image 2026年5月30日 21_54_54.png","005_小可_画桌旁站立照.png",renamed
"ChatGPT Image 2026年5月30日 21_56_11.png","006_小可_窗边站姿照.png",renamed
"ChatGPT Image 2026年5月30日 21_57_41.png","007_小可_窗边双手拘谨站姿.png",renamed
"ChatGPT Image 2026年5月30日 21_58_24.png","008_小可_画室单手插袋站姿.png",renamed
"ChatGPT Image 2026年5月30日 21_59_44 (1).png","009_小可_画室侧身站立照.png",renamed
"ChatGPT Image 2026年5月30日 21_59_44 (2).png","010_小可_窗边背身站立照.png",renamed
"ChatGPT Image 2026年5月30日 22_00_10 (1).png","011_小可_画桌前侧坐照.png",renamed
"ChatGPT Image 2026年5月30日 22_00_10 (2).png","012_小可_画桌前背影坐姿.png",renamed
"ChatGPT Image 2026年5月30日 22_06_25.png","013_小可_手机镜前自拍特写.png",renamed
"ChatGPT Image 2026年5月30日 22_08_42.png","014_小可_图书馆低头看书.png",renamed
"ChatGPT Image 2026年5月30日 22_09_35.png","015_小可_教室里低头看资料.png",renamed
"ChatGPT Image 2026年5月30日 22_10_26.png","016_小可_戴眼镜前置自拍.png",renamed
"ig_030062d35b148e2a016a1af346835481969d9ad3f135a29d82.png","017_小可_夜晚窗边看画稿插画.png",renamed
"ig_030062d35b148e2a016a1af3f71e7081969c201893ff82c521.png","018_小可_夜晚窗边抱杯看画稿插画.png",renamed
"ig_030062d35b148e2a016a1d8a28f4bc8196bdc3225cd7397099.png","019_小可_深夜画桌夜景空镜.png",renamed
"ig_030062d35b148e2a016a1d8abd76e481968847abab71a98059.png","020_小可_画桌前回头看镜头.png",renamed
"ig_030062d35b148e2a016a1d8b829a8881968e8b1a68d4f08d54.png","021_小可_深夜画桌远景侧坐.png",renamed
"ig_030062d35b148e2a016a1d8e45301c8196a5809db284d38aec.png","022_小可_画桌前低头看平板.png",renamed
"ig_030062d35b148e2a016a1d8ecefc748196b44d3608d4f5c11b.png","023_小可_画桌前正脸自拍.png",renamed
"ig_030062d35b148e2a016a1d92e42cac819689c10b1cb750e2fc.png","024_小可_获奖证书桌面特写.png",renamed
"ig_030062d35b148e2a016a1d937e5220819685acd4e0bf21ec3c.png","025_小可_获奖证书平铺照.png",renamed
"ig_030062d35b148e2a016a1d9458a7248196bb1c82fabf31d648.png","026_小可_获奖证书整齐摆拍.png",renamed
"ig_030062d35b148e2a016a1d9512ab808196a40070da3844924c.png","027_小可_山间风景插画作品.png",renamed
"ig_030062d35b148e2a016a1d9585d770819686a6dd901f2a3ea0.png","028_小可_白天窗边书桌空镜.png",renamed
"ig_030062d35b148e2a016a1d9608b0248196b52325d1ac388f33.png","029_小可_夜晚窗边书桌空镜.png",renamed
"ig_030062d35b148e2a016a1e74c2346c8196a2b18d4d00de63d9.png","030_小可_画室桌边侧脸照.png",renamed
"ig_030062d35b148e2a016a1e75b4f0e88196bba7c7e7cf5003bb.png","031_小可_走廊抱书路过照.png",renamed
"ig_030062d35b148e2a016a1e769d74c08196bc4a4394bf34c85b.png","032_小可_教室里低头写画.png",renamed
"ig_030062d35b148e2a016a1e77f84ef8819691a65255645cd615.png","033_小可_抱膝前置自拍.png",renamed
"ig_030062d35b148e2a016a1ebb8b11bc8196b0932d6f74101d42.png","034_小可_画桌前低马尾坐姿.png",renamed
"ig_030062d35b148e2a016a1ebde50ca08196aa091b217e6695f6.png","035_小可_雨夜窗边书桌空镜.png",renamed
"ig_030062d35b148e2a016a1ebf81862881969e41ae3ddb0fac58.png","036_小可_吐司和热牛奶早餐.png",renamed
"ig_0336354bb90be5d1016a1d896beaf8819a9bf69abddbc85860.png","037_小可_深夜房间书桌空镜.png",renamed
"ig_081a38ab3955928b016a1f817ef9a0819182abfb782de84e33.png","038_小可_床上靠枕看镜头.png",renamed
"ig_0b49c614e33268ec016a19ada2c7d481979c268df8b0477e71.png","039_小可_床边坐姿照.png",renamed
"ig_0b49c614e33268ec016a1a7c72764c8197bb4d091cf69c5eea.png","040_小可_床边书桌前坐姿照.png",renamed
"ig_0b49c614e33268ec016a1a7dd7535081978768215ee9c7771f.png","041_小可_画桌前比耶自拍.png",renamed
"ig_0eab1ae2ec7ac2b1016a1eddd677d081978fcfbe5b21aed9c7.png","042_小可_展示手机桌面.png",renamed
"ig_0eab1ae2ec7ac2b1016a1ede53f70881979fd99622bd85838c.png","043_小可_展示手机相册.png",renamed
"ig_0eab1ae2ec7ac2b1016a1edecf9b308197bcba7793f2b67c76.png","044_小可_暖光下正脸特写.png",renamed
"ig_0eab1ae2ec7ac2b1016a1ee02e84c48197959d341709571bbf.png","045_小可_画桌文具和线稿桌面.png",renamed
"ig_0eab1ae2ec7ac2b1016a1ee268011c81978b4ee26b720a00c6.png","046_小可_床上侧躺休息.png",renamed
"ig_0eab1ae2ec7ac2b1016a1f828f9f088197987bf0f17fe894bd.png","047_小可_素颜困倦前置自拍.png",renamed
"今晚对话图01_今晚的画.png","048_小可_夜晚窗边画画背影.png",renamed
"今晚对话图02_房间全景.png","049_小可_房间全景广角照.png",renamed
"今晚对话图03_房间全景_逛房间版.png","050_小可_房间全景进门视角.png",renamed
"今晚对话图04_书桌角落.png","051_小可_画桌角落夜景.png",renamed
"今晚对话图05_床边角落.png","052_小可_床边角落夜景.png",renamed
"今晚对话图06_平时穿的鞋.png","053_小可_平时穿的鞋子.png",renamed
"今晚对话图07_逛街照初版.png","054_小可_夜晚街边散步照.png",renamed
"今晚对话图08_逛街照重生版.png","055_小可_商场逛街初版照.png",renamed
"今晚对话图09_L1商场里边走边看店铺.png","056_小可_商场里边走边看店铺.png",renamed
"今晚对话图10_L8街边橱窗前整理头发.png","057_小可_街边橱窗前整理头发.png",renamed
"今晚对话图11_L8街边橱窗前整理头发_新版.png","058_小可_街边橱窗前整理头发新版.png",renamed
"小可-窗边室内成稿-今晚.png","059_小可_窗边室内成稿照.png",renamed
"小可-窗边室内小稿-今晚.png","060_小可_窗边室内正面小稿.png",renamed
"小可-画画时的照片-今晚.png","061_小可_画画时低头作画.png",renamed
"小可-画画时的照片-远景-今晚.png","062_小可_画画时远景自拍.png",renamed
"小可-画室前置自拍-今晚.png","063_小可_画室窗边留白空镜.png",renamed
"小可-画室自然动作照-今晚.png","064_小可_画室自然动作坐姿照.png",renamed
"小可-画桌桌面-今晚.png","065_小可_画桌桌面平铺照.png",renamed
"小可-生理期休息-今晚.png","066_小可_生理期卧床休息.png",renamed
"小可-手机相册-今晚.png","067_小可_手机相册展示.png",renamed
